X,Y,OBJECTID,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_ENC,CBML,TIPO_GEOCOD,GRAVEDAD,BARRIO,COMUNA,DISENO,DIA_NOMBRE,MES,MES_NOMBRE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.5685068095364,6.21070280585265,826030,1717722,2020/07/01 00:00:00+00,01:35:00,01,2020,Choque,CL 10 A CR 41,CL  010 A   041  000 00000,1418,Malla vial,CON HERIDOS,El Poblado,El Poblado,Tramo de via,MIÉRCOLES,07,JULIO     ,834977.94,1178769.85,-75.56850681,6.21070281
-75.5589588073643,6.24454497500699,826031,1714151,2020/05/08 00:00:00+00,11:30:00,08,2020,Choque,CR 38 CL 49 A,CR  038   049 A  000 00000,1016,Malla vial,SOLO DAÑOS,Boston,La Candelaria,Tramo de via,VIERNES  ,05,MAYO      ,836034.83,1182513.26,-75.55895881,6.24454498
-75.575040792884,6.25308092346215,826032,1727015,2020/10/19 00:00:00+00,08:25:00,19,2020,Otro,CR 57 CL 51,CR  057   051  000 00000,1006,Malla vial,SOLO DAÑOS,San Benito,La Candelaria,Tramo de via,LUNES    ,10,OCTUBRE   ,834254.74,1183457.46,-75.57504079,6.25308092
-75.7038158742467,6.22180566397042,826033,1718974,2020/07/15 00:00:00+00,06:30:00,15,2020,Choque,CL 5 CR 47,CL  005   047  000 00000,0,No Ubicada,CON HERIDOS,Sin Inf,Sin Inf,Interseccion,MIÉRCOLES,07,JULIO     ,820000,1180000,-75.70381587,6.22180566
-75.5764231663702,6.25384770781474,826034,1712988,2020/04/05 00:00:00+00,02:00:00,05,2020,Choque,CR 62 CL 50,CR  062   050  000 00000,1006,Malla vial,CON HERIDOS,San Benito,La Candelaria,Tramo de via,DOMINGO  ,04,ABRIL     ,834101.73,1183542.28,-75.57642317,6.25384771
-75.5984994835781,6.22053018625725,826035,1706584,2020/02/05 00:00:00+00,05:40:00,05,2020,Otro,CR 76 CL 12,CR  076   012  000 00000,1606,Malla vial,CON HERIDOS,Las Playas,Belén,Tramo de via,MIÉRCOLES,02,FEBRERO   ,831657.92,1179857.01,-75.59849948,6.22053019
-75.576194256699,6.21272532171593,826036,1713748,2020/04/27 00:00:00+00,07:30:00,27,2020,Atropello,CR 49 CL 7,CR  049   007  000 00000,1421,Malla vial aproximada: CR 48-7,CON MUERTOS,Patio Bonito,El Poblado,Lote o Predio,LUNES    ,04,ABRIL     ,834126.97,1178993.58,-75.57619426,6.21272532
-75.6125852043514,6.23288579779734,826037,1711182,2020/03/11 00:00:00+00,01:00:00,11,2020,Atropello,CL 31 CR 88,CL  031   088  000 00000,1616,Malla vial,CON HERIDOS,Las Violetas,Belén,Tramo de via,MIÉRCOLES,03,MARZO     ,830098.83,1181223.83,-75.6125852,6.2328858
-75.5426252091131,6.30185136211588,826038,1718984,2020/07/16 00:00:00+00,07:30:00,16,2020,Atropello,CL 121 CR 30,CL  121   030  000 00000,103,Malla vial,CON HERIDOS,Popular,Popular,Lote o Predio,JUEVES   ,07,JULIO     ,837842.52,1188852.18,-75.54262521,6.30185136
-75.5716472577194,6.26510344838539,826039,1712414,2020/03/20 00:00:00+00,02:30:00,20,2020,Choque,CL 67 CR 62,CL  067   062  000 00000,10,Malla vial P,CON HERIDOS,El Chagualo,La Candelaria,Tramo de via,VIERNES  ,03,MARZO     ,834630.38,1184787.31,-75.57164726,6.26510345
-75.6424487357958,6.17633374350675,826040,1705294,2020/01/28 00:00:00+00,02:10:00,28,2020,Atropello,CR 61 CL 51 A,CR  061   051 A  000 00000,8000,Malla vial aproximada: CR 61-51,CON HERIDOS,Cabecera San Antonio de Prado,Corregimiento de San Antonio de Prado,Tramo de via,MARTES   ,01,ENERO     ,826792.26,1174968.79,-75.64244874,6.17633374
-75.5682325036293,6.24673523264138,826041,1710188,2020/03/03 00:00:00+00,06:20:00,03,2020,Choque,CL 46 CR 49,CL  046   049  000 00000,1019,Malla vial,CON HERIDOS,La Candelaria,La Candelaria,Interseccion,MARTES   ,03,MARZO     ,835008.33,1182755.53,-75.5682325,6.24673523
-75.5791421741233,6.20378341071026,826042,1733482,2020/12/21 00:00:00+00,09:40:00,21,2020,Choque,CR 49 CL 4 Sur,CR  049  S 004  000 00000,1422,Malla vial,SOLO DAÑOS,La Aguacatala,El Poblado,Tramo de via,LUNES    ,12,DICIEMBRE ,833800.62,1178004.49,-75.57914217,6.20378341
-75.5537903898451,6.27449723817815,826043,1730286,2020/11/27 00:00:00+00,06:10:00,27,2020,Atropello,CR 45 CL 82,CR  045   082  000 00000,303,Malla vial,CON HERIDOS,Campo Valdés No. 2,Manrique,Tramo de via,VIERNES  ,11,NOVIEMBRE ,836606.85,1185826.4,-75.55379039,6.27449724
-75.5573413864669,6.28332586338823,826044,1727188,2020/10/24 00:00:00+00,08:00:00,24,2020,Choque,CR 49 B CL 92,CR  049 B   092  000 00000,401,Malla vial,SOLO DAÑOS,Berlin,Aranjuez,Interseccion,SÁBADO   ,10,OCTUBRE   ,836213.8,1186802.96,-75.55734139,6.28332586
-75.570026683735,6.23395542741384,826045,1704272,2020/01/16 00:00:00+00,09:15:00,16,2020,Choque,CR 43 A CL 33,CR  043 A   033  000 00000,1020,Malla vial,SOLO DAÑOS,San Diego,La Candelaria,Interseccion,JUEVES   ,01,ENERO     ,834809.72,1181341.91,-75.57002668,6.23395543
-75.5598238513349,6.25267236756471,826046,1716526,2020/06/16 00:00:00+00,09:00:00,16,2020,Atropello,CR 43 CL 58,CR  043   058  000 00000,1017,Malla vial,CON HERIDOS,Los Ángeles,La Candelaria,Interseccion,MARTES   ,06,JUNIO     ,835939.07,1183412.26,-75.55982385,6.25267237
-75.5831934188904,6.2960877617393,826047,1734232,2020/12/28 00:00:00+00,01:20:00,28,2020,Choque,CR 83 CL 97 A,CR  083   097 A  000 00000,608,Malla vial aproximada: CR 83-97,SOLO DAÑOS,Picacho,Doce De Octubre,Tramo de via,LUNES    ,12,DICIEMBRE ,833352.51,1188214.63,-75.58319342,6.29608776
-75.5754605494133,6.24494431038662,826048,1715397,2020/05/31 00:00:00+00,03:00:00,31,2020,Otro,CL 44 CR 57 A,CL  044   057 A  000 00000,1008,Malla vial,CON HERIDOS,Corazón de Jesús,La Candelaria,Tramo de via,DOMINGO  ,05,MAYO      ,834208.26,1182557.44,-75.57546055,6.24494431
-75.594955757562,6.270981291848,826049,1710113,2020/03/02 00:00:00+00,06:30:00,02,2020,Otro,CR 80 CL 59,CR  080   059  000 00000,703,Malla vial,CON HERIDOS,San Germán,Robledo,Lote o Predio,LUNES    ,03,MARZO     ,832050.51,1185437.57,-75.59495576,6.27098129
-75.5838913418253,6.28992385343732,826050,1712756,2020/03/30 00:00:00+00,05:00:00,30,2020,Atropello,CR 79 A CL 92,CR  079 A   092  000 00000,607,Malla vial,CON HERIDOS,Kennedy,Doce de Octubre,Tramo de via,LUNES    ,03,MARZO     ,833275.24,1187532.82,-75.58389134,6.28992385
-75.5538510864192,6.2494980766379,826051,1711821,2020/03/07 00:00:00+00,08:30:00,07,2020,Atropello,CL 58 CR 36,CL  058   036  000 00000,808,Malla vial,CON HERIDOS,Enciso,Villa Hermosa,Lote o Predio,SÁBADO   ,03,MARZO     ,836600.19,1183061.15,-75.55385109,6.24949808
-75.6166808274153,6.25704787911125,826052,1717339,2020/06/26 00:00:00+00,11:00:00,26,2020,Volcamiento,CL 44 CR 101,CL  044   101  000 00000,1309,Malla vial,CON HERIDOS,San Javier No.1,San Javier,Lote o Predio,VIERNES  ,06,JUNIO     ,829645.74,1183896.53,-75.61668083,6.25704788
